id;time_start;elapsed_time;kernel;operation;path;size_start;size_gain;thread;process;write_size;entropy;exec_path;exec;gt;;Ransomware
44528;132047381971702000;4108;1;0;\Device\HarddiskVolume2\msys64\mingw64\share\doc\openssl\html\man3\i2d_ASN1_GENERALIZEDTIME.html;16818;0;4436;5960;14966;0.575929;\Device\HarddiskVolume2\Users\win-test\Desktop\Ransomware\Ransomware.exe;Ransomware.exe;1;;Cerber
44530;132047381971711000;0;1;60a00;\Device\HarddiskVolume2\msys64\mingw64\share\doc\openssl\html\man3\i2d_ASN1_GENERALIZEDTIME.html;16818;0;4436;5960;14966;0.575929;\Device\HarddiskVolume2\Users\win-test\Desktop\Ransomware\Ransomware.exe;Ransomware.exe;1;;Cerber
44532;132047381971727000;10270;1;0;\Device\HarddiskVolume2\msys64\mingw64\share\doc\openssl\html\man3\i2d_ASN1_GENERALIZEDTIME.html;16818;0;4436;5960;60;0.966141;\Device\HarddiskVolume2\Users\win-test\Desktop\Ransomware\Ransomware.exe;Ransomware.exe;1;;Cerber
44534;132047381971757000;6168;1;0;\Device\HarddiskVolume2\msys64\mingw64\share\doc\openssl\html\man3\i2d_ASN1_GENERALIZEDTIME.html;16818;0;4436;5960;90;0.941354;\Device\HarddiskVolume2\Users\win-test\Desktop\Ransomware\Ransomware.exe;Ransomware.exe;1;;Cerber
44536;132047381971784000;7720;1;60a00;\Device\HarddiskVolume2\msys64\mingw64\share\doc\openssl\html\man3\i2d_ASN1_GENERALIZEDTIME.html;16818;90;4436;5960;90;0.941354;\Device\HarddiskVolume2\Users\win-test\Desktop\Ransomware\Ransomware.exe;Ransomware.exe;1;;Cerber
44538;132047381971809000;0;1;0;\Device\HarddiskVolume2\msys64\mingw64\share\doc\openssl\html\man3\i2d_ASN1_GENERALIZEDTIME.html;16908;110;4436;5960;110;0.956090;\Device\HarddiskVolume2\Users\win-test\Desktop\Ransomware\Ransomware.exe;Ransomware.exe;1;;Cerber
44540;132047381971828000;0;1;0;\Device\HarddiskVolume2\msys64\mingw64\share\doc\openssl\html\man3\i2d_ASN1_GENERALIZEDTIME.html;17018;256;4436;5960;256;0.893756;\Device\HarddiskVolume2\Users\win-test\Desktop\Ransomware\Ransomware.exe;Ransomware.exe;1;;Cerber
;;;;;;;;;;;;;;;;
76996;132047382561438000;3297;1;0;\Device\HarddiskVolume2\msys64\mingw64\share\info\gettext.info.gz;199317;0;4436;5960;197465;0.454718;\Device\HarddiskVolume2\Users\win-test\Desktop\Ransomware\Ransomware.exe;Ransomware.exe;1;;Cerber
76999;132047382561489000;4229;1;60a00;\Device\HarddiskVolume2\msys64\mingw64\share\info\gettext.info.gz;199317;0;4436;5960;197465;0.454718;\Device\HarddiskVolume2\Users\win-test\Desktop\Ransomware\Ransomware.exe;Ransomware.exe;1;;Cerber
77002;132047382561508000;0;1;0;\Device\HarddiskVolume2\msys64\mingw64\share\info\gettext.info.gz;199317;0;4436;5960;60;0.983071;\Device\HarddiskVolume2\Users\win-test\Desktop\Ransomware\Ransomware.exe;Ransomware.exe;1;;Cerber
77005;132047382561508000;0;1;0;\Device\HarddiskVolume2\msys64\mingw64\share\info\gettext.info.gz;199317;0;4436;5960;62;0.972911;\Device\HarddiskVolume2\Users\win-test\Desktop\Ransomware\Ransomware.exe;Ransomware.exe;1;;Cerber
77008;132047382561582000;0;1;60a00;\Device\HarddiskVolume2\msys64\mingw64\share\info\gettext.info.gz;199317;62;4436;5960;62;0.972911;\Device\HarddiskVolume2\Users\win-test\Desktop\Ransomware\Ransomware.exe;Ransomware.exe;1;;Cerber
77011;132047382561582000;0;1;0;\Device\HarddiskVolume2\msys64\mingw64\share\info\gettext.info.gz;199379;110;4436;5960;110;0.943341;\Device\HarddiskVolume2\Users\win-test\Desktop\Ransomware\Ransomware.exe;Ransomware.exe;1;;Cerber
77013;132047382561582000;0;1;0;\Device\HarddiskVolume2\msys64\mingw64\share\info\gettext.info.gz;199489;256;4436;5960;256;0.893756;\Device\HarddiskVolume2\Users\win-test\Desktop\Ransomware\Ransomware.exe;Ransomware.exe;1;;Cerber
;;;;;;;;;;;;;;;;
39963;132048237813098000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Desktop\sample\kqxzWipnFcQ.jpg;330656;0;628;4888;16;1.000000;\Device\HarddiskVolume2\Users\win-test\AppData\Roaming\qkllaov.exe;qkllaov.exe;0;;TeslaCrypt
39964;132048237813263000;0;1;60a00;\Device\HarddiskVolume2\Users\win-test\Desktop\sample\kqxzWipnFcQ.jpg;330656;0;628;4888;16;1.000000;\Device\HarddiskVolume2\Users\win-test\AppData\Roaming\qkllaov.exe;qkllaov.exe;0;;TeslaCrypt
39965;132048237813263000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Desktop\sample\kqxzWipnFcQ.jpg;330656;0;628;4888;4;1.000000;\Device\HarddiskVolume2\Users\win-test\AppData\Roaming\qkllaov.exe;qkllaov.exe;0;;TeslaCrypt
39966;132048237813263000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Desktop\sample\kqxzWipnFcQ.jpg;330656;0;628;4888;330672;0.436290;\Device\HarddiskVolume2\Users\win-test\AppData\Roaming\qkllaov.exe;qkllaov.exe;0;;TeslaCrypt
39967;132048237813263000;0;1;60a00;\Device\HarddiskVolume2\Users\win-test\Desktop\sample\kqxzWipnFcQ.jpg;330656;36;628;4888;330672;0.436290;\Device\HarddiskVolume2\Users\win-test\AppData\Roaming\qkllaov.exe;qkllaov.exe;0;;TeslaCrypt
;;;;;;;;;;;;;;;;
41837;132048237987004000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\personal\secret\guida_dove_milano_2010.pdf;7065728;0;628;4888;16;1.000000;\Device\HarddiskVolume2\Users\win-test\AppData\Roaming\qkllaov.exe;qkllaov.exe;0;;TeslaCrypt
41838;132048237987004000;0;1;60a00;\Device\HarddiskVolume2\Users\win-test\Documents\personal\secret\guida_dove_milano_2010.pdf;7065728;0;628;4888;16;1.000000;\Device\HarddiskVolume2\Users\win-test\AppData\Roaming\qkllaov.exe;qkllaov.exe;0;;TeslaCrypt
41839;132048237987004000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\personal\secret\guida_dove_milano_2010.pdf;7065728;0;628;4888;4;1.000000;\Device\HarddiskVolume2\Users\win-test\AppData\Roaming\qkllaov.exe;qkllaov.exe;0;;TeslaCrypt
41840;132048237987004000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\personal\secret\guida_dove_milano_2010.pdf;7065728;0;628;4888;7065744;0.401364;\Device\HarddiskVolume2\Users\win-test\AppData\Roaming\qkllaov.exe;qkllaov.exe;0;;TeslaCrypt
41841;132048237987004000;234364;1;60a00;\Device\HarddiskVolume2\Users\win-test\Documents\personal\secret\guida_dove_milano_2010.pdf;7065728;36;628;4888;7065744;0.401364;\Device\HarddiskVolume2\Users\win-test\AppData\Roaming\qkllaov.exe;qkllaov.exe;0;;TeslaCrypt
;;;;;;;;;;;;;;;;
73014;132047170778245000;0;1;60a00;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf.WNCRYT;0;8;2484;4092;8;0.916667;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73015;132047170778245000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf.WNCRYT;8;0;2484;4092;4;0.405639;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73016;132047170778245000;0;1;60a00;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf.WNCRYT;8;4;2484;4092;4;0.405639;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73017;132047170778245000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf.WNCRYT;12;0;2484;4092;256;0.897183;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73018;132047170778245000;0;1;60a00;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf.WNCRYT;12;256;2484;4092;256;0.897183;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73019;132047170778245000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf.WNCRYT;268;0;2484;4092;4;0.405639;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73020;132047170778245000;0;1;60a00;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf.WNCRYT;268;4;2484;4092;4;0.405639;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73021;132047170778245000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf.WNCRYT;272;0;2484;4092;8;0.516265;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73022;132047170778245000;0;1;60a00;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf.WNCRYT;272;8;2484;4092;8;0.516265;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73023;132047170778572000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf.WNCRYT;280;0;2484;4092;1048576;0.401364;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73024;132047170778582000;19115;1;60a00;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf.WNCRYT;280;1048576;2484;4092;1048576;0.401364;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73025;132047170778701000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf.WNCRYT;1048856;0;2484;4092;946768;0.402960;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73026;132047170778701000;0;1;60a00;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf.WNCRYT;1048856;946768;2484;4092;946768;0.402960;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73027;132047170778784000;0;1;60a00;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf;1995335;0;2484;4092;1024;0.783044;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73029;132047170778800000;9260;0;60043;;67108864;0;2484;4092;20480;0.219793;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73028;132047170778800000;15489;0;60043;;1995335;0;2484;4092;8192;0.280148;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73030;132047170778825000;5143;0;60043;;67108864;0;2484;4092;4096;0.170727;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73031;132047170778973000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf;1995335;0;2484;4092;262144;0.444403;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73032;132047170778982000;9918;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf;1995335;0;2484;4092;262144;0.444403;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73033;132047170779003000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf;1995335;0;2484;4092;262144;0.444403;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73034;132047170779020000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf;1995335;0;2484;4092;262144;0.444403;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73035;132047170779054000;5579;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf;1995335;0;2484;4092;262144;0.444403;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73036;132047170779076000;3814;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf;1995335;0;2484;4092;262144;0.444403;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73037;132047170779088000;11688;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf;1995335;0;2484;4092;262144;0.444403;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
73038;132047170779113000;0;1;0;\Device\HarddiskVolume2\Users\win-test\Documents\mydocs\Solez8.pdf;1995335;0;2484;4092;160327;0.462606;\Device\HarddiskVolume2\Users\win-test\Desktop\Wannacry\Wannacry.exe;Wannacry.exe;1;;Wannacry
